company_id,type,rule_id,text,confidence_pct
LODHA,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,62.0
HAVELLS,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HAVELLS,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
HAVELLS,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BEL,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
BEL,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
KOTAKBANK,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
KOTAKBANK,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
LT,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
LT,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
LT,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ADANIGREEN,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
SBILIFE,Pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100.0
SBILIFE,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
LICI,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,100.0
LICI,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
LICI,Pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,100.0
LICI,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
LICI,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ADANIPORTS,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ADANIPORTS,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
ADANIPORTS,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
HDFCBANK,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HDFCBANK,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BHEL,Pro,P0,Business continues to operate with stable financial reporting and remains an active constituent in the analysis universe.,65.0
HDFCLIFE,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HDFCLIFE,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
TITAN,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,94.4
TITAN,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
TITAN,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
BAJFINANCE,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
BAJFINANCE,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
HCLTECH,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,66.0
HCLTECH,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HCLTECH,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
JSWSTEEL,Pro,P0,Business continues to operate with stable financial reporting and remains an active constituent in the analysis universe.,65.0
CHOLAFIN,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
CHOLAFIN,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
HEROMOTOCO,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,62.3
HEROMOTOCO,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HEROMOTOCO,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HEROMOTOCO,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
HEROMOTOCO,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
INDUSINDBK,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
BHARTIARTL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
BHARTIARTL,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
BHARTIARTL,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
SHREECEM,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
SHREECEM,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
SHREECEM,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
IOC,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,67.1
IOC,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
IOC,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
IOC,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ICICIPRULI,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ICICIPRULI,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
ICICIPRULI,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
IRCTC,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,88.8
IRCTC,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
IRCTC,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,78.0
IRCTC,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
IRCTC,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
SHRIRAMFIN,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,68.0
ABB,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,84.9
ABB,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ABB,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
ABB,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
TVSMOTOR,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,72.4
IRFC,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
IRFC,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
IRFC,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ICICIGI,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ICICIGI,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
ICICIGI,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
ICICIGI,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ITC,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,75.7
ITC,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ITC,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,84.0
ITC,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
ICICIBANK,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ICICIBANK,Pro,P8,Dividend payout is supported by positive free cash flow.,85.0
ADANIENSOL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
ADANIENSOL,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,70.0
HINDUNILVR,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,60.1
HINDUNILVR,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
HINDUNILVR,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100.0
HINDUNILVR,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,95.0
TRENT,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,92.6
TRENT,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90.0
